event_id,category_id,name,time
243930425,4,2017 Nashville Walk to End Alzheimers - October 14th,2017-10-14 12:00:00
244208851,26,Steak Dinner on the Patio,2017-10-15 00:15:00
pxlktnywnbfb,33,Schedule Meetup,2017-10-03 23:30:00
244444551,2,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",2017-10-25 22:30:00
244257722,2,"Happy Hour Wednesday, Brentwood, Oct. 18",2017-10-18 22:30:00
243997614,2,"Cocktails at the Top, Brentwood ",2017-10-12 23:30:00
243711748,2,Happy Hour Wednesday ,2017-09-28 00:00:00
243587675,2,Tennessee Craft Fair on Sunday Afternoon 9/24,2017-09-24 18:00:00
243026202,2,3rd Weds. Lunch mixer at O'Charleys,2017-09-20 16:30:00
243475377,2,Trivia Night at Plantation Pub,2017-09-19 23:00:00
243026119,2,1st Tuesday Ladies Lunch at Chili's Bellevue,2017-09-05 16:30:00
242392448,2,Ladies Lunch at O'Charley'­s on Thursday,2017-08-24 16:30:00
241886029,2,3rd Weds. Networking Lunch Mixer at O'Charleys,2017-08-16 16:30:00
241730271,2,Lunch Mixer at O'Charley'­s on Thursday July 20,2017-07-20 16:30:00
240193613,2,Ladies Lunch Social at O'Charley'­s on Thursday June 1,2017-06-01 18:00:00
239944117,2,Cocktails & Networking at the Top May 17,2017-05-17 23:30:00
238479980,2,Ladies Lunch in Bellevue March 23 at 1 pm,2017-03-23 18:00:00
237736080,2,Ladies Lunch Feb. 16 at 1 pm,2017-02-16 19:00:00
234178292,2,Happy Hour Wednesdays at Jonathan's in Bellevue,2016-10-19 23:00:00
234008415,2,Happy Hour Wednesdays at Jonathan's in Bellevue Sept. 21,2016-09-21 23:00:00
233855117,2,Happy Hour Wednesdays at Jonathan's in Bellevue,2016-09-07 23:00:00
233579762,2,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",2016-08-28 23:30:00
233579670,2,Happy Hour Wednesday at Hilton Garden Inn Aug. 24,2016-08-24 22:30:00
233476897,2,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",2016-08-21 23:30:00
233235249,2,Happy Hour Wednesday at Hilton Garden Inn Aug. 10,2016-08-10 22:30:00
232668583,2,Networking Happy Hour at Hilton Garden Inn in Brentwood July 20,2016-07-20 22:30:00
232642712,2,Entrepreneurship in the 21st Century,2016-07-16 22:00:00
232543768,2,Networking Happy Hour at Hilton Garden Inn in Brentwood July 13,2016-07-13 22:30:00
231460443,2,"Skincare Workshop at Lotus Blooming Yoga in Bellevue, Sun, June 19",2016-06-19 19:00:00
231912692,2,Happy Hour Tonight!,2016-06-15 22:30:00
231274089,2,Lunch Mixer Thursday May 26,2016-05-26 18:00:00
231104506,2,Tennessee Ren Fest Saturday May 21,2016-05-21 14:30:00
231090426,2,Networking Happy Hour at Hilton Garden Inn in Brentwood May 18,2016-05-18 22:30:00
230900387,2,Lunch Mixer Thursday May 12,2016-05-12 18:00:00
230972361,2,Networking Happy Hour at Hilton Garden Inn in Brentwood May 11,2016-05-11 22:30:00
230934372,2,Just for Fun: Tennessee Ren Fest Saturday May 7,2016-05-07 14:30:00
239499597,2,The Basics of cloud Computing,2017-06-28 15:00:00
239945716,2,Carnegie Writers/Green Hills Library,2017-06-24 20:00:00
236180427,2,Wired Senior Workshop,2017-01-19 00:00:00
233471167,2,Wired Senior Workshop,2016-10-27 23:00:00
233830558,2,"Consider ""storytelling by resume""?",2016-09-19 13:00:00
232878772,2,Work on your LinkedIn Profile,2016-08-08 12:00:00
231005223,2,"""iPhoneBasics""",2016-06-07 16:30:00
230056380,2,Journaling/Blogging/Podcasting CraftContent 2016,2016-04-09 14:00:00
227618948,2,Communicating in The 21st Century,2016-03-17 23:00:00
227618936,2,Communicating in The 21st Century,2016-03-01 16:00:00
227044616,2,Communicating in The 21st Century,2016-02-03 00:30:00
226349699,2,Talk about the five steps to create a successful podcast,2015-11-03 01:00:00
244446326,8,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",2017-10-25 22:30:00
244262821,8,"Happy Hour Wednesday, Brentwood, Oct. 18",2017-10-18 22:30:00
243988264,8,Wine Down Thursday in Brentwood,2017-10-12 23:30:00
243869312,8,"Wine Down Thursday, Murfreesboro",2017-10-05 22:00:00
243711769,8,Happy Hour Wednesday ,2017-09-28 00:00:00
243240368,8,3rd Weds. Lunch mixer at O'Charleys,2017-09-20 16:30:00
243075137,8,1st Tuesday Ladies Lunch at Chili's Bellevue,2017-09-05 16:30:00
242775576,8,Lunch Mixer at O'Charley'­s on Thursday,2017-08-24 16:30:00
241779221,8,Networking Lunch at O'Charley'­­s Bellevue Thursday July 20,2017-07-21 04:30:00
240191942,8,"Ladies Lunch Social at O'Charley's Bellevue on Thursday, June 1",2017-06-01 18:00:00
240041511,8,Cocktails & Networking at the Top May 17,2017-05-17 23:30:00
234867689,8,****Meet me at the Business Boutique (2-day event)****,2016-11-04 13:30:00
234847818,8,First meet up *** Happy Hour***,2016-10-26 23:00:00
